	version	folds	img_size	resize	batch_size	epochs	patience	decay	backbone	bce_weight	loss	seed	bavg_epoch	bavg_loss	bavg_dice_coef	split	mirror	aughard	umodel	pseudo	comments	lr	dice_by_folds	shift	external	downsample
0	v0	4	256	4	24	1000	20	False	efficientnetb0	1.0	bce_dice	2020	83.75	0.02494684141129256	0.8682394623756409											
1	v1	4	512	2	6	1000	20	False	efficientnetb0	1.0	bce_dice	2020	11.75	0.023128655273467302	0.7669349163770676											
2	v2	4	256	4	24	1000	20	False	efficientnetb0	0.8	bce_dice	2020	40.0	0.04563125781714916	0.8815712630748749											
3	v3	4	256	4	20	1000	20	False	efficientnetb1	1.0	bce_dice	2020	63.75	0.0245678904466331	0.8693231791257858	kfold										
4	v4	4	256	4	20	1000	20	False	efficientnetb1	0.8	bce_dice	2020	49.0	0.04537668731063605	0.8820220977067947	kfold										
5	v5	4	256	4	20	1000	16	False	efficientnetb2	1.0	bce_dice	2020	51.25	0.02408124366775155	0.8661016374826431	kfold										
6	v6	4	256	4	16	1000	20	False	efficientnetb3	0.5	bce_dice	2020	60.5	0.07354884967207909	0.8852382749319077	kfold										
7	v7	4	256	4	16	1000	20	False	efficientnetb3	0.5	bce_dice	2020	24.5	0.0779177201911807	0.8835849314928055	group										
8	v8	4	256	4	12	1000	20	False	efficientnetb4	0.5	bce_dice	2020	51.0	0.07795282267034054	0.8785067051649094	group										
9	v9	4	256	4	16	1000	20	False	efficientnetb3	0.2	bce_dice	2020	32.0	0.09896952472627164	0.8867610841989517	kfold										
10	v10	4	256	2	32	1000	20	False	efficientnetb3	0.5	bce_dice	2020	55.5	0.09416397847235204	0.8451894372701645	kfold	1.0	1.0	unet							
11	v11	4	256	4	32	1000	20	False	resnet34	0.5	bce_dice	2020	65.5	0.07194073870778084	0.8872666656970978	kfold	0.0	1.0	unet							
12	v12	4	256	4	32	1000	20	False	seresnet34	0.5	bce_dice	2020	65.5	0.07165579870343207	0.8878097683191299	kfold	0.0	1.0	unet							
13	v13	4	256	4	32	1000	20	False	resnet34	0.5	bce_dice	2020	56.75	0.05094275437295437	0.9178485721349716	kfold	0.0	1.0	unet	v11						
14	v14	4	256	4	16	1000	20	False	efficientnetb3	0.5	bce_dice	2020	57.75	0.057122171390801675	0.9080018103122712	group	0.0	1.0	unet	v11						
15	v16	4	256	4	10	1000	32	False	efficientnetb3	0.5	bce_dice	2020	52.5	0.07841100171208383	0.8759201616048813	kfold	0.0	1.0	fpn			0.001				
16	v15	4	256	4	16	1000	20	False	efficientnetb2	0.5	bce_dice	2020	52.0	0.07750445324927567	0.8838501870632172	twos	0.0	1.0	unet			0.0001	0.8990 0.8537 0.8662 0.9164			
